"Potential_x","Potential_y","Kinetic_x","Kinetic_y","Total_x","Total_y"
100,-1263523.384,100,261733.0707,100,-1001790.313,
200,-1259867.634,200,263045.6382,200,-996821.9954,
300,-1255925.134,300,261222.1819,300,-994702.9517,
400,-1253251.219,400,263240.5734,400,-990010.6451,
500,-1250983.719,500,261511.6562,500,-989472.0623,
600,-1248489.434,600,263232.9309,600,-985256.5027,
700,-1245317.184,700,262851.2603,700,-982465.9233,
800,-1247199.93,800,263344.3156,800,-983855.6142,
900,-1243802.43,900,261815.7796,900,-981986.6502,
1000,-1241905.084,1000,262274.4312,1000,-979630.6528,
1100,-1241833.334,1100,261947.5032,1100,-979885.8308,
1200,-1241707.908,1200,264008.8204,1200,-977699.0878,
1300,-1237447.075,1300,262089.8008,1300,-975357.2738,
1400,-1238290.825,1400,261840.3195,1400,-976450.505,
1500,-1237488.825,1500,263028.6878,1500,-974460.1368,
1600,-1234739.116,1600,264092.824,1600,-970646.2919,
1700,-1233357.866,1700,262255.8971,1700,-971101.9689,
1800,-1231435.582,1800,262643.1793,1800,-968792.4031,
1900,-1233103.604,1900,263038.4313,1900,-970065.1729,
2000,-1233939.132,2000,263325.2974,2000,-970613.8342,
2100,-1232812.132,2100,262856.8308,2100,-969955.3008,
2200,-1232341.845,2200,262425.7957,2200,-969916.0493,
2300,-1233738.124,2300,262089.9929,2300,-971648.1314,
2400,-1232901.938,2400,262081.7865,2400,-970820.1517,
2500,-1233109.481,2500,262429.3421,2500,-970680.139,
2600,-1232939.512,2600,262497.7015,2600,-970441.8105,
2700,-1232579.812,2700,263550.2673,2700,-969029.5444,
2800,-1232043.812,2800,262949.1173,2800,-969094.6945,
